title,skills,imageURL,category,altRoute
Book Scout,UX DESIGN • UX RESEARCH,clplogo.jpg,"design, research",
Grid Control,UX DESIGN • UX RESEARCH,windstaxlogo.png,"design, research",https://drive.google.com/file/d/1aztUDCFE12j6Alqiv3QGtFbn_N4uesLJ/view?usp=sharing
Backslash,GAME DESIGN • ART • PROGRAMMING • PRODUCTION,backslashlogo.png,games,https://adrianma.itch.io/backslash
AC Control Redesign,UX DESIGN • UX RESEARCH,aclogo.png,"design, research",
Dungeon P,UI DESIGN,dungeonplogo.png,design,https://www.figma.com/proto/wYwVQbrRtoOZBRWB9SX1By/DUNGEON-P?page-id=0%3A1&node-id=61%3A2&viewport=-390%2C422%2C0.5&scaling=scale-down&starting-point-node-id=61%3A2
PeerCoco,GRAPHIC DESIGN,peercocologo.png,design,https://cmu.app.box.com/s/hmv7y46sw7oafsz0mphzgxe626z33m7o
Channel,GAME DESIGN • PROGRAMMING,channel.png,games,https://www.gamecreation.org/games/channel
T(rack),UI DESIGN,tracklogo.png,design,https://cmu.app.box.com/s/9n5fhagfl1eztv555f4wy2a9diz43p8z
AdoptMe,UI DESIGN,adoptmelogo.png,design,https://cmu.app.box.com/s/l4on5mq6peusqhr6to66nr58lcctehhl
ECMO VR,PROGRAMMING • RESEARCH,apllogo.png,research,https://cmu.app.box.com/s/iuaknpzncidwnvn27sm6bm0ptitmszgd
Engolfed VR,ART • PROGRAMMING,engolfedlogo.png,games,https://cmu.app.box.com/s/dutzx2dmbypmsrgwl1wpcg2xd04sdkqi
