title,skills,imageURL,category,altRoute
Dimensional Rift,GAME DESIGN • PROGRAMMING • PRODUCTION,DR.png,games,
Eachday,GAME DESIGN • UX DESIGN,eachday.png,"games, design",
The Contrarian Press,GAME DESIGN • PROGRAMMING,TCP.png,games,https://scottking.itch.io/the-contrarian-press
Tanks In Advance,GAME DESIGN • PROGRAMMING,TIA.png,games,https://willozeas.itch.io/tanks-in-advance
Space Shank,GAME DESIGN • ART,spaceshank.jpg,games,https://scottking.itch.io/space-shank
Heuristicats,GAME DESIGN • PROGRAMMING,heuristicats.png,games,https://adrianma.itch.io/heuristicats
Design Internship Program,UX DESIGN • UX RESEARCH,c1.png,"design, research",
Escape Dartist VR,GAME DESIGN • LEVEL DESIGN • XR • 3D ART,escape_dartist.svg,games,
Backslash,GAME DESIGN • ART • PROGRAMMING • PRODUCTION,backslashlogo.png,games,https://adrianma.itch.io/backslash
Spin Dashboard,UX DESIGN • UX RESEARCH,spinlogo.jpeg,"design, research",
Player-Programmed Partner Games,GAME DESIGN • RESEARCH,OHLab.png,"games, research",
Fitsaber,RESEARCH • GAME DESIGN,fitsaber.png,"games, research",
