title,imageURL,rating,description,articlelink,headers,sections,hooks
Goodbye World,goodbyeworld.png,4,"In its mere two-hour runtime, Goodbye World managed to communicate to me the harsh realities of indie game development while simultaneously inspiring me to pursue my passion for making games. Although the separation between its gameplay and story elements can at times interrupt its masterful story, the game's utilization of the gaming medium to augment its narrative makes that tradeoff worthwhile.",https://www.superjumpmagazine.com/a-story-that-can-only-be-told-through-a-game/,A Story that Can Only Be Told Through a Game," Although its platforming sections can at times interrupt its compelling story, Goodbye World's use of elements from a uniquely integrated gameplay structure to build its narrative up to a stunning climax left an impression on me that will last far past its credits screen. ","\break (new line), \section (next header section)"
Human Resource Machine,humanresourcemachine.jpg,3,"Human Resource Machine seamlessly integrates challenging puzzles with programming education. Even as an experienced programmer, I found progressing through its levels fun and at times pretty challenging. ",https://medium.com/@amm28y/integrating-learning-and-gameplay-human-resource-machine-769837341bd0,Powerful Metaphors for Education; Struggles with a Wide Target Audience,"Its core mechanics and levels very closely parallel fundamental programming principles, which makes transferring in-game learning to real-world contexts very doable. Although its format and syntax may not directly match any programming language you can find, its puzzle pieces and logical thinking procedures can easily transfer to programming in practice. \section In its early levels, Human Resource Machine serves as a great introduction to computational thinking, while its later levels can be a suitable challenge for programmers of all levels. However, in this process of targeting this wide playerbase, Human Resource Machine lacks support for newer, inexperienced players that run into roadblocks when reaching big jumps in difficulty while allowing some experienced players to quickly lose interest in the simplicity of its early levels.",
Super Smash Bros. Ultimate,smash.jpg,5,"Although some may not consider Smash a ""real"" fighting game when compared with traditional fighters like Tekken, few can argue with its accomplishment as one of the greatest celebrations of the gaming industry, bringing together over 200 different franchises into one title. Alongside this is Smash Ultimate's accomplishment of being one of the most balanced fighting games to date while having the largest roster ever, with 86 characters.",,What's Great; What Could Be Better,"smash1.jpg Ultimate's game feel is amazing. The use of freeze frames the moment powerful attacks land in combination with screen + character shake, masterful sound design, and flashy yet readable VFX makes landing powerful combos and moves extremely rewarding. smash2.png Unlike most traditional fighting games, Smash's percent system forces the pace of the game to slow down for tense moments. When characters interact at high percents they are sent flying far away, extending the period of time where players have play out these near-death scenarios. \break \break Smash is accessible to casual players yet still manages to provide the depth necessary for high-level competition. Optional features such as items or stage hazards alongside free-for-all game modes for up to 8 players allow factors other than player skill to affect the outcome of a game. Meanwhile, free movement options and mechanics such as b-reversing, RARing, and many more facilitate an evolving meta where high-level players continue to discover new tech for their characters even years after their release. \section The spirits system and World of Light adventure mode are weak. Unlike the metroidvania Subspace Emissary in Smash Bros. Brawl, the roguelike Smash Run in Smash for 3DS, or the tabletop Smash Tour in Smash for Wii U, World of Light and its spirits do little towards providing players with an experience that deviates from the game's core gameplay loop. \break \break Spirits' lack of uniqueness and low impact as primarily stat changes gives players little incentive to collect them, which makes the whole spirit collection system feel like a wasted opportunity. \break \break Although accessible, Smash Ultimate, like many of its predecessors, has many UX issues that serve as an obstacle for players striving to reach high-levels of play. smash4.png Core elements of Snake's kit, for example, are really hard to see, which is detrimental to players with poorer vision, especially when playing the switch on its small screen undocked. For Snake's C4, this isn't a problem since keeping track of where the C4 is adds an interesting layer to gameplay for both players; however, forcing a player to squint to see grenades that explode in a couple seconds after being taken out does not engage with any level of strategy and hurts accessibility. It's a different story for Snake's C4 when it is placed on a player though, as tracking the bomb as it switches between players is a near impossible feat. smash5.png Another example is how difficult it is to tell when a character has used their double jump. Knowing whether a player has a double jump available is essential for that player's approach to recovering as well as to their opponent's understanding of what options they have to cover. In Smash Ultimate, very frequently will players get hit at the exact moment they try to double jump, as it is a valuable resource that opponents will try to take away by interrupting. However, the game only visualizes double jumps with a little transparent ring effect under the character, which leads players who mistakenly think they have a double jump to mess up their recovery and pushes players to make predictions on their opponent's double jump timing when their opponent, in actuality, doesn't even have a double jump available. Again, spotting things that are hard to see is not a part of Smash's core gameplay loop nor does it add to it, so these issues are UX flaws that take away from the interesting decisions that the game's design enables. ",
Overcooked 2,overcooked2.png,5,"Overcooked 2 is one of my favorite co-op games of all time. It accomplishes what few other games can, by creating a truly collaborative environment where players need to communicate constantly throughout a play session rather than one where communications die off after players settle into their own roles.",,What's Great; What Could Be Better,"Overcooked is unique in that constant cooperation is not forced upon the players, it's simply the most effective way to play. \break ¥ While it is possible for one player to contribute more than another, it is often impossible for one player to do 100% of the work, especially in levels where players are separated. This makes the game accessible to groups of players with imbalanced skill levels. \break ¥ When players begin to settle into distinct roles within a level, the game will often throw in a curveball that pushes players out of those roles and encourages them to continue collaborating. \break ¥ Overcooked's simple controls and mechanics make optimization possible; hardcore players can reach near perfect runs (which is often what Overcooked 2's 4 star milestones require) where they feel that they performed as efficiently as physically possible which feels extremely rewarding \break ¥ Every level in Overcooked is engaging in a new way. Despite a simple set of core mechanics, each level introduces a new obstacle / interaction or adds an interesting twist to an old one. This ensures that players will need to collaborate to strategize with every subsequent level, as previously successful strategies almost never apply. \break ¥ The throwing mechanic adds so much depth to speed as well as level design. It creates opportunities for high risk high reward interactions where players can quickly throw an item to its destination but risk losing it if dropped, and opens up the possibility of levels where players are separated from each other \section ¥ Falling into familiar roles and just trusting that your teammate will consistently deliver on a certain task can also be a compelling element of a co-op experience. More levels that allow players to separate after creating a plan at the beginning of a level will be rewarding. \break ¥ Uncertain hazards or elements that feel based on luck take away from the simplicity of the game's mechanics and make optimization feel less attainable. Mechanics such as random fires that block your path feel frustrating because they cannot be planned around. ",
Honkai Star Rail,starrail.jpg,3,Hoyoverse games have always been visually stunning and Honkai Star Rail is no exception. Star Rail features a compelling story and a beautiful environment to explore while serving as a great entry point for players less familiar with turn-based RPGs.,,What's Great; What Could Be Better,"¥ Star Rail's combat system is simple and accessible. Players are never overloaded by options, and the skill point charging mechanic simultaneously adds strategy by making basic attacks essential, and adds simplicity, as most RPGs use a completely separate mechanic such as mana for a skill resource. \break ¥ The simulated universe is robust rogue-like game mode that provides gripping end-game content. The different paths allow players to build off of all sorts of team synergies, and the blessings give players fine control over how deep to dive into each synergy as well as freedom to mix and match them. Path resonance abilities also provide clear milestones in path progression, communicating clear growth in players' power fantasy. \break ¥ Also present in genshin, the daily mission system which provides the player a variety of mission options but only requires a set amount to be completed promote player control and creates an interesting mini-game of which missions to tackle and in what order to reach maximum efficiency. \section ¥ The accessibility of Star Rail's combat also creates the problem of a lack of complexity. Most of Star Rail's strategy comes outside of battle in selecting your party; within battle, players have few options available to them and most problems have one or two direct answers. If players simply do not have the perfect counter, they often do not have the freedom to find it through strategy. \break ¥ Consequently, instances where players are unable to change their party setup before a fight are extremely punishing, as there are situations where a player's party setup makes a fight a complete slog or even impossible to win. \break ¥ An example of a system that provides more freedom for player expression with only slight differences is Octopath Traveler's break system. The main difference in OT is that playable characters often have access to multiple enemy weaknesses whereas in Star Rail, characters are only capable of breaking one element each. Just this small change would give players so much more control over the outcome of a battle without introducing too much complexity. ",
A Way Out,awayout.jpg,5,"A Way Out is extremely experimental in its approach to cooperative design and it pays off. The game allows players to experience so many different dynamics of play between themselves and their partner, which each feel extremely unique and fun in their own way. Although A Way Out may not provide as much variety in level design or co-op mechanics as It Takes Two, it makes up for this with compelling co-op dynamics alongside a much more impactful story.",,Co-op Dynamics,"¥ Co-op puzzles: this is one of the most standard co-op dynamics where players achieve a goal through solutions that require a separate action from each player to function \break ¥ Competitive Minigames: random minigames found throughout the world that pit the players against each other. Fun and low stakes, have no effect on the overarching narrative \break ¥ Spotlight Sequences: sequences where the game focuses fully on one player, forcing the other player to watch. This connects players who are normally only focusing on their own actions and gives each player a chance to show off. \break ¥ Full Asymmetry: players branch off to perform completely separate tasks, without any moment-to-moment collaboration. In these situations, it is interesting to verbally hear from your partner about their experiences, and also feels empowering to put trust in your partner to eventually meet back up later in the game. \break ¥ Turn the Tables: one of the most amazing moments in A Way Out is when it stops being a co-op game and turns fully into a competitive one. Spoiler alert, this occurs at the game's climax, when it is revealed that the two playable characters are actually enemies rather than friends. This completely turns player expectations on its head, pushing players accustomed to leveraging the game's combat system against AI-controlled enemies to now use it against an adaptable human opponent. This shift in dynamics makes the narrative's plot twist resonate powerfully with players. ",
Vampire Survivors,vampiresurvivors.png,4,"Vampire Survivors is fascinating in that it features extremely simple gameplay, rely entirely upon its progression to facilitate player engagement. The only controls outside of menu navigation is moving your character with a joystick, which may seem significant at first glance but becomes less relevant as more and more enemies approach you from all sides. Vampire Survivors was immensely successful but by no means is its gameplay innovative; there are many other games in the genre and Vampire Survivors itself was inspired by a similar game called Magic Survival. What separates Vampire Survivors from its competition? Let's take a look.",,Progression and Feedback; Virality,"¥ Vampire Survivors' short-term progression within a single run is stays fresh and communicates a clear power fantasy. Luca Galante, the dev behind the game, did not care about balancing the power levels of different items and this pays off. For a game targeted towards casual players, the process of discovering overpowered item combinations is rewarding and does not force players into monotonous, optimized playstyles; discovering new combinations is often more compelling than sticking to previous ones that have proven to be successful. \break
¥ Vampire Survivor runs are limited to 30 minutes; this is unusual for rogue-like or rogue-lite games including Magic Survival, which usually feature endless runs. This limit may provide a clear milestone and sense of accomplishment that players do not get in other rogue-likes, and may cater to its casual audience with shorter runs. \break
¥ Perhaps the biggest difference between Vampire Survivors and its inspiration is its use of damage numbers as VFX, as explained beautifully by Adam Millard in his YT video, ""Vampire Survivors Only Works Because We're Stupid"" Many players, especially casual ones, enjoy seeing immediate feedback from their actions. Big, rapidly growing damage numbers in Vampire Survivors gives players a constant sense of progression and a true power fantasy in the late game. \section ¥ Vampire Survivors' ""pick up and play"" accessibility and minimal art style gives it the potential to reach a wide audience. Its availability on Steam also sets it apart from its competitors who are primarily mobile-only. \break
¥ Finally, I must mention the element of luck that went into Vampire Survivors' success. By no effort of its developer, the game had a video made on it from a huge YouTuber, which led some twitch streamer and other content creators to start playing until the game spiraled into the public eye. As I mentioned before, there are games on the market that are very similar to Vampire Survivors and arguably much more polished and feature packed, such as 15 Minutes Till Dawn and Brotato that did not receive the same success. While it can be argued that Vampire Survivor's simplicity is what is responsible for its virality, this without a doubt goes to show the power of leveraging influencers for game marketing.",
Gunhead,gunhead.png,2,"Gunhead has a lot of potential but in many ways is poorly executed. It is the transformation of the top down shooter, Cryptark, into and FPS. Although its new 3D look is immersive and combat mechanics feel fun, many of Cryptark's systems did not translate well to 3D. Poor visibility and cramped level design make moment to moment combat feel frustrating, although the overall goals and progression systems from Cryptark retain their appeal.",https://www.superjumpmagazine.com/gunhead-analyzing-design-choices-in-the-transition-from-2d-to-3d/,,"I would have liked to see developer Alientrap innovate more with Gunhead rather than just transition Cryptark into the 3D perspective. Altogether, Gunhead feels more like a novel experience for Cryptark veterans rather than an improved, reimagined version of its inspiration. Analyzing Gunhead revealed many important design considerations exclusive to 3D format that are not necessary to evaluate in 2D experiences. ",
Game Builder Garage,gamebuildergarage.jpg,4,"Game Builder Garage is an amazing tool. Its interactive lessons prepare players to experience much of the trial and error that comes with game development when they dive into the free programming mode. With respect to director Masuda's original vision to create a way for players to experience that trial and error, Game Builder Garage is successful.",https://www.superjumpmagazine.com/does-game-builder-garage-actually-teach-you-how-to-make-games/,,"The game's integration of a scene editor and visual scripting interface onto one screen is innovative and makes the engine much more accessible to beginners than many publicly available game engines today. Its simple but powerful set of tools cleverly enables players to create a wide variety of games with relatively little onboarding. \break \break On the educational side, Game Builder Garage works towards a wide range of learning goals but fails to push players to mastery on any of them. It teaches players many concepts about game design and development, from game genres and playtesting to physics systems and debugging; however, by guiding players too strongly through these learnings and leaving no room for error, the game makes it difficult to players to apply concepts in practice or in novel situations. \break \break Although, with enough time using the free programming mode, players can obtain a deeper understanding of these concepts by coming up with their own game ideas and guiding themselves through problems along the development process using the tools they learned in the interactive lessons.",
Marvel Snap,marvelsnap.jpg,4,"Marvel Snap is a major accomplishment for the mobile card game genre, innovating in its accessible yet complex core gameplay as well as its successful business model devoid of any pay-to-win monetization.",,The Snap Mechanic; Simplicity; Cosmetic-Only Monetization,"Marvel Snap's betting mechanic, ""snap"", gives players direct control over an external factor, their ELO, during a match, something I've never seen done before. It makes conceding a match a strategic decision to minimize your losses, rather than a way to end the game early after giving up. \break \break Snapping adds a lot of depth without adding complexity, leading to mind games between players who must gauge how confident they are in winning based on their opponent's behavior. Where this depth falls short though in comparison to a game like poker is in the option of bluffing. From my experience playing, players almost never snap in order to fake out their opponent into conceding. And I believe this is because their are many more obvious factors pointing towards the victory of a certain player than in poker, which is much simpler and involves more luck. Although there are ways to turn the tables against your opponent at the last moment, especially through the powerful effects of 6-cost cards, these effects are often not consistent or frequent enough to make a bluffs believable. \break \break However, the game does try to make the option of conceding (possibly after your opponent bluffs) appealing by making it feel less punishing. Instead of saying, ""You Lose!"", the game says, ""You Escaped!"" Ben Brode made a great point in his GDC talk on Marvel Snap that we should try to create a net positive joy from our competitive games; if the winner feels the same amount of joy as the amount of frustration the loser experiences, we have in total put out zero joy into the world through our games! \section Marvel Snap's core gameplay is extremely accessible, perfect for a mobile audience. Cards have a cost and a power level and can be placed at 3 different locations, having a higher total power level than your opponent at 2 or more of the locations at the end of the 6th turn results in victory. Decks only consist of 12 cards and card effect descriptions are never more than about 8 words. marvelsnap_gameplay.png Much of the depth in card games comes from synergies between cards and Marvel Snap takes advantage of this, stripping down any unnecessary complexity to focus on synergies. The special traits of the 3 locations in each game are also revealed gradually, once per turn. This limits complexity at the beginning of a round and increases it over time. It also creates interesting risk vs. reward decisions about whether to place cards onto locations whose traits are unknown, or settle for weaker synergies on revealed locations. \section Finally, one of the most impressive elements of Marvel Snap is its complete lack of pay to win monetization. Of course, there are other games that use a similar system such as Hearthstone, where getting copies of cards does not make them stronger, but even in Hearthstone it's difficult to build a top-level deck without spending to get the cards you need. Marvel Snap's smaller 12-card deck and less complex synergies makes obtaining the cards you need easier. F2P cards are also extremely viable, as many players have reached the highest rank with such. The fact that obtaining card duplicates only upgrades them cosmetically rather than funneling back into obtaining new cards, like in Hearthstone, further shows how unnecessary it is to expand past the options given to you. marvelsnap_upgrade.png",
