title,skills,imageURL,category,altRoute
Dimensional Rift,GAME DESIGN • PROGRAMMING • PRODUCTION,DR.png,games,
Eachday,GAME DESIGN • UX DESIGN,eachday.png,"games, design",
Tanks In Advance,GAME DESIGN • PROGRAMMING,TIA.png,games,https://willozeas.itch.io/tanks-in-advance
Escape Dartist VR,GAME DESIGN • LEVEL DESIGN • XR • 3D ART,escape_dartist.svg,games,
The Contrarian Press,GAME DESIGN • PROGRAMMING,TCP.png,games,https://scottking.itch.io/the-contrarian-press
Space Shank,GAME DESIGN • ART,spaceshank.jpg,games,https://scottking.itch.io/space-shank
Heuristicats,GAME DESIGN • PROGRAMMING,heuristicats.png,games,https://adrianma.itch.io/heuristicats
Backslash,GAME DESIGN • ART • PROGRAMMING • PRODUCTION,backslashlogo.png,games,https://adrianma.itch.io/backslash
Design Internship Program,UX DESIGN • UX RESEARCH,c1.png,"design, research",
Spin Dashboard,UX DESIGN • UX RESEARCH,spinlogo.jpeg,"design, research",
